objectid,gmrap_id,coded_id,tract_name,name,name_other,name_group,includes,sitestatus,country,state_prov,latitude,longitude,dep_type,dep_subtype,age_ma,age_method,age_range,age_ref,comm_major,comm_minor,comm_trace,tonnage_mt,cu_pct,mo_pct,au_g_t,ag_g_t,con_cu_t,au_mo,comments,minerals,assd_rock,dev_status,ref_list,setting,study_area,short_ref,strat_age
11,328,005pCu1013b,"Argentina-Chile Miocene–Pliocene Los Pelambres","Arroyo Chita",Chita,,,prospect,Argentina,"San Juan",-30.5,-69.75,"Porphyry copper",NA,11.7,"K-Ar biotite","11.7 ±0.3 Ma","Sillitoe (1977)",,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,"andesite porphyry",Occurrence,"Sillitoe (1977); Zappettini and others (1999); Singer and others (2008); Singer and others (2005)","continental margin",Andes,"Cunningham and others (2008)",Miocene
12,1155,005pCu1015,"Argentina-Chile Late Cretaceous–middle Eocene Campana Mahuida","Arroyo Luque","Nido De Aguilas",,,prospect,Argentina,Chubut,-43.27,-71.02,"Porphyry copper",NA,-9999,"Geologic inference","Late Cretaceous","geologic inference","Cu, Ag, Au","Zn, Pb",,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"In rhyolite porphyry: up to 219 ppm Cu, 114 ppm Zn, 140 ppm Pb, 6.4 g/t Ag, and 3.9 g/t Au. 90 percent of the deposit area is covered by alluvium and colluvium.",,,Occurrence,"Rubinstein (1999); Servicio Geológico Minero Argentino (1999)","continental margin",Andes,"Cunningham and others (2008)","Late Cretaceous"
13,320,005pCu1014c,"Argentina Miocene–Pliocene Bajo de la Alumbrera","Bajo de Agua Tapado",,,,prospect,Argentina,Catamarca,-27.266666667,-66.65,"Porphyry copper",NA,8,unknown,"11–6 Ma","Singer and others (2008)","Au, Ag",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Thin veins ?2.2 g/t Au, 174 g/t Ag. Exposed. Farallon Negro volcanic region.","barite, biotite, calcite, chalcopyrite, chlorite, epidote, galena, magnetite, pyrite, sericite, sphalerite","breccia, dacite porphyry,conglomerate (block and ash flow deposit),andesite, andesite agglomerate, basalt, monzonite",Occurrence,"Alderete (1999a); Clark and Arancibia (1996); Harris and others (2006); Koukharsky and Mirré (1976); Sasso and Clark (1998); Singer and others (2008); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene
14,322,005pCu1014c,"Argentina Miocene–Pliocene Bajo de la Alumbrera","Bajo de la Alumbrera",,,,deposit,Argentina,Catamarca,-27.329722222,-66.608888889,"Porphyry copper",Cu-Au,7.5,unknown,"8.02 ±0.14 to 6.75 ±0.09 Ma","Singer and others (2008)","Cu, Au, Ag","Pt, Pd",,806,0.53,-9999,0.64,2.5,4300000,-9999,"1999 resources: 767 Mt at 0.51% Cu and 0.64 g/t Au. In concentrate: 8 ppb Pt; 35 ppb Pd. Exposed. Farallon Negro volcanic region.","anhydrite/gypsum, apatite, biotite, bornite, chalcocite/digenite, chalcopyrite, chlorite, covellite, epidote, galena, goethite/limonite, gold, hematite/specularite, jarosite, kaolinite/dickite, magnetite, molybdenite, pyrite, sericite, siderite, sphalerite","dacite porphyry, quartz-feldspar porphyry,granite, schist, gneiss,andesite, andesite breccia, conglomerate (block and ash flow deposit), sandstone, tuff",Producer,"Angera (1999); Brown (2005); Casaceli (1993); Guilbert (1995); Guilbert (2000); Harris and others (2006); Muller and Forrestal (1998); Proffett (2003); Sasso and Clark (1998); Sillitoe (1981); Tarkian and Stribrny (1999); Ulrich and Heinrich (2001); Ulrich and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene
15,708,005pCu1019,"Argentina, Late Triassic to Middle Jurassic, Bajo de la Leona","Bajo de la Leona",,,,prospect,Argentina,"Santa Cruz",-48.075,-67.308333333,"Porphyry copper",NA,200,unknown,"~200 Ma","Márquez and Godeas (1999)","Cu, Ag",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Average grades: 1.71% Cu, 26.1 g/t Ag.","azurite/malachite, betekhtinite, bornite, chalcocite, chalcopyrite, covellite, cuprite, delafossite, digenite, electrum, enargite, galena, hematite/specularite, limonite, molybdenite, pyrite, sphalerite, tennantite/tetrahedrite, tenorite","aplite, granodiorite porphyry, basalt, volcanoclasics, granite, granodiorite",Occurrence,"Cunningham and others (2007); Márquez and Godeas (1999); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)","Late Triassic–Early Jurassic"
16,325,005pCu1014c,"Argentina Miocene–Pliocene Bajo de la Alumbrera","Bajo de San Lucas",,,,prospect,Argentina,Catamarca,-27.4,-66.55,"Porphyry copper",NA,7.1,"K-Ar biotite","7.1 ±0.1 Ma","Sillitoe (1977)","Cu, Au, Ag",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Reported grades range from 0.05 to 0.26% Cu, ?0.35 g/t Au, 1.65 to 2.5 g/t Ag. Farallon Negro volcanic region.","biotite, chalcopyrite, chlorite, delafossite, epidote, gypsum, hematite, magnetite, malachite, molybdenite, pyrite, sericite","dacite porphyry, monzonite porphyry, andesite, granite, diorite porphyry, metasedimentary rocks, phyllite, sandstone, schist",Occurrence,"Alderete (1999b); Koukharsky and Mirré (1976); Sasso and Clark (1998); Sillitoe (1977); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene
17,321,005pCu1014c,"Argentina Miocene–Pliocene Bajo de la Alumbrera","Bajo El Durazno",,,,deposit,Argentina,Catamarca,-27.283333333,-66.566666667,"Porphyry copper",NA,7.9,"K-Ar whole rock","7.9 ±0.1 Ma","Sillitoe (1977)","Cu, Au",,,200,0.32,-9999,0.12,-9999,640000,-9999,"10% of the deposit area is covered by alluvium. Farallon Negro volcanic region.","biotite, bornite, calcite, chalcopyrite, chlorite, delafossite, galena, gold, malachite, magnetite, molybdenite, pyrite, siderite, sphalerite, tetrahedrite/tennantite","breccia, andesite porphyry, dacite porphyry, monzonite porphyry, agglomerate, andesite, andesite breccia, basalt",Prospect,"Alderete (1999c); Long (1995); Sasso and Clark (1998); Sillitoe (1977); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene
18,227,005pCu1005,"Colombia-Ecuador Miocene Chaucha","Balzapamba-Las Guardias","El Torneado",,,prospect,Ecuador,Bolívar,-1.666666667,-79.15,"Porphyry copper",NA,19.9,"Re-Os molybdenite","19.9 ±0.3 Ma","Chiaradia and others (2004)","Cu, Ag",Zn,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"0.71 to 1.38% Cu, 0.1% Zn, 1.2 g/t Ag.","biotite, chalcopyrite, chlorite, covellite, magnetite, molybdenite, pyrite, pyrrhotite, scheelite, sphalerite","pillow andesitic basalt, basalt, granodiorite porphyry, limestone",Occurrence,"Chiaradia and others (2004); PRODEMINCA (2000a); PRODEMINCA (2000b); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene
19,319,005pCu1013a,"Argentina-Chile Miocene–Pliocene Cerro Casale",Betito,"La Borita, Fenix, Guaayracocha",,,prospect,Argentina,Catamarca,-26.3,-67.9,"Porphyry copper",NA,-9999,"Geologic inference",Miocene(?),"Singer and others (2008)",Cu,"Pb, Zn",,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Resources of 1.17 Mt at 1% Cu, 0.95% Pb, and 0.17% Zn.","atacamite, azurite/malachite, lavendulan [NaCaCu5(AsO4)4Cl.5H2O], phosgenite [Pb2Cl2(CO3)]","argillite, limestone, tuffaceous sandstone, siltstone, tuff",Occurrence,"Godeas and others (1999); Zappettini and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene(?)
20,217,005pCu1002,"Colombia Jurassic California",California,,,,prospect,Colombia,Santander,7.316666667,-72.866666667,"Porphyry copper",NA,144,"K-Ar sericite","144 ±3 Ma","Sillitoe and others (1982)","Au, Mo",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Reported 0.1 to 1.2 g/t Au and 100 ppm Mo in a zone of advanced argillic alteration.","alunite, chalcopyrite, chlorite, gold, kaolinite, pyrite, pyrophyllite, sericite","breccia, dacite porphyry,granodiorite, rhyolite porphyry, siltstone, mudstone,adamellite, granite, gneiss",Occurrence,"Sillitoe (1988); Sillitoe and others (1982); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)","Late Jurassic–Early Cretaceous"
21,337,005pCu1015,"Argentina-Chile Late Cretaceous–middle Eocene Campana Mahuida","Campana Mahuida",,,,deposit,Argentina,Neuquén,-38.25,-70.583333333,"Porphyry copper",NA,74.2,"K-Ar biotite","74.2 ±1.4 Ma","Sillitoe (1977)","Cu, Au",,,194,0.49,-9999,0.098,-9999,950000,-9999,"Reserves of 1994: oxidized zone, 31 Mt at 0.4% Cu and 0.14 g/t Au; secondary enrichment zone, 11 Mt at 0.6% Cu and 0.03 g/t Au; sulfide ore, 71 Mt at 0.38% Cu and 0.09 g/t Au. 60% of the deposit area is covered by gravel.","biotite, bornite, calcite, chalcocite, chalcopyrite, chlorite, covellite, chrysocolla, delafossite, epidote, goethite/limonite, hematite/specularite, illite, jarosite, molybdenite, montmorillonite/smectite, pyrite, pyrrhotite, sericite, tenorite,tetrahedrite","andesite porphyry, dacite porphyry, skarn, diorite, granodiorite, granodiorite porphyry, metasedimentary rocks, hornfels",Producer,"Chabert and Zannetini (1999); Franchini and others (2007); Hollister (1978); Long (1995); Sillitoe (1977); Singer and others (2008); Franchini and others (2003)","continental margin",Andes,"Cunningham and others (2008)","Late Cretaceous"
22,241,005pCu1006,"Peru-Ecuador middle–late Miocene La Granja",Cañariaco,,,,deposit,Peru,Lambayeque,-6.083333333,-79.283333333,"Porphyry copper",NA,15,unknown,"15 Ma","Singer and others (2008)",Cu,,,820,0.45,-9999,-9999,-9999,3700000,-9999,"Resource as of March, 2007, at 0.3% Cu cut-off grade. Exposed.","albite, alunite, ankerite, biotite, bornite, chalcocite, chalcopyrite, chlorite, covellite, cubanite, digenite, enargite, epidote, galena, goethite, gold, hedenbergite, hematite, illite, jarosite, magnetite, malachite, molybdenite, muscovite/sericite, pyrite, sphalerite, tetrahedrite/tennantite, tourmaline, tremolite, zeolite","breccia, andesite porphyry, quartz porphyry, tonalite porphyry, conglomerate, gneiss, limestone, mudstone, phyllite, quartzite, sandstone, andesite, dacite, diabase, pyroclastics",Prospect,"Cabello (2002); Candente Resource Corp. (2007); Flores and others (1975); Hollister (1978); Noble and McKee (1999); Petersen and Vidal (1996); Stakiw (2007a); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene
23,327,005pCu1016ab,"Argentina Permian San Jorge",Carrizal,,,,prospect,Argentina,"San Juan",-30,-69.166666667,"Porphyry copper",NA,261,unknown,"261 Ma","Singer and others (2008)","Cu, Ag, Au","Zn, Pb",,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"In rhyolite porphyry: ?219 ppm Cu, 114 ppm Zn, 140 ppm Pb, 6.4 g/t Ag, and 3.9 g/t Au. 90% of the deposit area is covered by alluvium and colluvium.","arsenopyrite, biotite, Bi-sulfotellurides, chalcocite, chalcopyrite, chlorite, gold, magnetite, melnikovite, molybdenite, pyrite, pyrrhotite, sericite, sphalerite","dacite porphyry, rhyolite porphyry, sandstone, siltstone",Occurrence,"Rubinstein and others (1999); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)","Middle Permian"
24,292,005pCu1010,"Chile Eocene–Oligocene Chuquicamata",Centinela,,,,prospect,Chile,Antofagasta,-23.163333333,-69.168333333,"Porphyry copper",NA,44.3,unknown,"44.3 ±1.5 Ma","Singer and others (2008)",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Preliminary resources: 4.5 Mt at 0.64% Cu.","atacamite, chalcocite, chalcopyrite, chrysocolla, chlorite, clay minerals, pyrite, sericite, tenorite, tourmaline","dacite porphyry, diorite, tonalite, volcanic rocks","Past Producer","Boric and others (1990); Zappettini and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Eocene
25,304,005pCu1013a,"Argentina-Chile Miocene–Pliocene Cerro Casale","Cerro Casale",Aldebaran,,,deposit,Chile,Atacama,-27.783333333,-69.233333333,"Porphyry copper",Cu-Au,13.5,"K-Ar alunite","13.5 ±0.5 Ma","Sillitoe and others (1991)","Cu, Mo, Au",,,1285,0.35,0.02,0.7,-9999,4500000,35,"Exposed. Maricunga belt. There is a transition from Cu-Au porphyry (20c) to Au-bearing quartz- polymetallic veins (22c) and further to high-sulfidation Au epithermal veins (25e) within 3.5 km (NW) and 1 km high.","alunite, anhydrite/gypsum, barite, biotite, chalcanthite, chalcopyrite, clay minerals, chlorite, diaspore, galena, gold, hematite/specularite, kaolinite, magnetite, molybdenite, pyrite, sericite, sphalerite, tourmaline","breccia, dacite porphyry, diorite porphyry, andesite, andesite tuff, conglomerate, sandstone",Prospect,"Camus (2005); Cunningham and others (2008); Muntean and Einaudi (2001); Sillitoe (2000c); Sillitoe and others (1991); Sillitoe and Perelló (2005); Vila and Sillitoe (1991); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene
26,1156,005pCu1015,"Argentina-Chile Late Cretaceous–middle Eocene Campana Mahuida","Cerro Coihue",,,,prospect,Argentina,Chubut,-42.13,-71.35,"Porphyry copper",NA,-9999,"Geologic inference",Jurassic–Cretaceous–Paleocene–Eocene,"geologic inference",,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,,,Occurrence,"Servicio Geológico Minero Argentino (1999)","continental margin",Andes,"Cunningham and others (2008)",Jurassic–Cretaceous–Paleocene–Eocene
27,273,005pCu1008,"Chile-Peru Paleocene–Eocene Toquepala","Cerro Colorado",,,,deposit,Peru,Tacna,-17.681666667,-69.900833333,"Porphyry copper",NA,-9999,"Geologic inference",Paleocene,"Singer and others (2008)","Cu, Mo",,,220,1.01,0.015,-9999,-9999,2200000,-9999,"0.5% Cu cutoff; supergene enrichment as much as 200 m thick.","chalcopyrite, chlorite, clay minerals, covellite, pyrite, sericite","dacite porphyry, andesite, granodiorite",Prospect,"Chávez (1999); Sillitoe (1989a); Zappettini and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Paleocene
28,278,005pCu1008,"Chile-Peru Paleocene–Eocene Toquepala","Cerro Colorado",,,,deposit,Chile,Tarapacá,-20.044722222,-69.259722222,"Porphyry copper",NA,51.8,Ar-Ar,"51.8 ±0.5 Ma","Bouzari and Clark (2002)","Cu, Mo",,,607,0.81,0.005,-9999,-9999,4900000,-9999,"Cu enrichment age (K/Ar, alunite), 30 to 36 Ma. >50% of the deposit area is covered by gravel and ignimbrite.","albite, alunite, andalusite, antlerite, atacamite, biotite, chalcanthite, chalcocite, chalcopyrite, chlorite, chrysocolla, covellite, diaspore, kaolinite/illite, jarosite, magnetite, molybdenite, muscovite/sericite, pyrite, pyrophyllite, tennantite, tourmaline, turquoise","andesite porphyry, breccia, dacite porphyry, quartz monzonite porphyry, andesite, felsic volcanic rocks, ignimbrite",Producer,"BHP Billiton Ltd. (2006); Bouzari and Clark (2002); Bouzari and Clark (2006); Briggs (2006); Anonymous (1999); Sillitoe (1991); Sillitoe and McKee (1996); Zappettini and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Eocene
29,244,005pCu1006,"Peru-Ecuador middle–late Miocene La Granja","Cerro Corona",,,,deposit,Peru,Cajamarca,-6.761666667,-78.605833333,"Porphyry copper",Cu-Au,10,unknown,"13–8 Ma","Singer and others (2008)","Cu, Au",,,300,0.3,-9999,0.5,-9999,900000,-9999,Exposed.,"andalusite, biotite, bornite, chalcocite, chalcopyrite, chlorite, clay minerals, covellite, diaspore, enargite, magnetite, molybdenite, pyrite, pyrophyllite, pyrrhotite, sericite, tennantite","andesite porphyry, quartz porphyry, skarn, granodiorite porphyry, limestone, siltstone, rhyodacite",Occurrence,"Cabello (2002); Gold Fields Ltd. (2003); Gustafson and others (2004); Little (1995a); Macfarlane and others (1994); Noble and McKee (1999); Northern Peru Copper Corp. (2007a); Petersen and Vidal (1996); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene
30,331,005pCu1013b,"Argentina-Chile Miocene–Pliocene Los Pelambres","Cerro Mercedario",,,,prospect,Argentina,"San Juan",-31.95,-70.05,"Porphyry copper",NA,13,"K-Ar biotite","13.0 ±0.5 Ma","Sillitoe (1977)",,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,"biotite, chalcopyrite, pyrite","monzonite porphyry",Occurrence,"Sillitoe (1977); Zappettini and others (1999); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Miocene
31,268,005pCu1008,"Chile-Peru Paleocene–Eocene Toquepala","Cerro Negro",,,,deposit,Peru,Arequipa,-16.545833333,-71.552777778,"Porphyry copper",NA,57,unknown,"57 Ma","Singer and others (2008)",Cu,,,70,0.53,-9999,-9999,-9999,370000,-9999,"Oxide ore. Post-mineral rhyolite porphyry 52.6 Ma. 30% of the deposit area (mainly southeastern part) is covered by talus and alluvium.","antlerite, azurite/malachite, bornite, brochantite, chalcocite, chalcopyrite, chlorite, chrysocolla, clay minerals, covellite, cuprite, galena, hematite/specularite, pyrite, sericite, sphalerite, tenorite, tourmaline","breccia, rhyolite porphyry, dacitic tuff, gneiss, sandstone, siltstone, shale, diorite, granodiorite",Prospect,"Bidgood (2000); Zappettini and others (2001); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Paleocene
32,267,005pCu1008,"Chile-Peru Paleocene–Eocene Toquepala","Cerro Verde","Santa Rosa",,,deposit,Peru,Arequipa,-16.535277778,-71.591666667,"Porphyry copper",NA,61.8,unknown,"61.8 ±0.7 Ma","Singer and others (2008)","Cu, Mo",,,2528,0.495,0.01,-9999,-9999,12510000,-9999,"Tonnage and grades according to Briggs (2006), Cyprus Amax (19931998), Phelps Dodge (19992004). 19772004 production, 201 Mt at 0.68% Cu; 2004 resources, 1647 Mt at 0.48% Cu and 0.016% Mo, 544 Mt at 0.52% Cu, and 136 Mt at 0.3% Cu. Exposed. Two populations of supergene alunite: 38.836.1 Ma and 2824.4 Ma.","alunite, anhydrite, antlerite, biotite, bornite, brochantite, carbonate, celadonite, chalcocite, chalcopyrite, chrysocolla, covellite, cubanite, enargite, ferberite, galena, goethite, hematite, ilmenite, kaolinite, luzonite, mackinawite, magnetite, malachite, molybdenite, pyrite, pyrrhotite, sericite, sphalerite, tennantite, tourmaline","breccia, dacite porphyry, quartz porphyry, quartz-feldspar porphyry, quartz monzodiorite porphyry, gneiss, sandstone, siltstone, shale, aplite, diorite, gneiss, granodiorite, pegmatite",Producer,"Anonymous (1993c); Anonymous (1994d); Briggs (2006); Clark (1993); Cyprus Amax Minerals Co. (1998); Le Bel (1985); Petersen and Vidal (1996); Phelps Dodge Corp. (2004); Quang and others (2003); Sillitoe (1988); Singer and others (2008)","continental margin",Andes,"Cunningham and others (2008)",Paleocene
